file.name,value,name,LOCALITY_ID
esa_globcover_5,140,A. D. Barnes Park,L200830
esa_globcover_5,140,大阪市--大阪城/大阪城公園 (Osaka--Osaka Castle / Osaka Castle Park),L1123077
esa_globcover_5,190,台北--大安森林公園(Taipei--Da'an Forest Park),L2319930
esa_globcover_5,190,Addis Ababa--Ghion Hotel,L3016220
esa_globcover_5,190,江戸川区--葛西臨海公園 (Edogawa Ward--Kasai Rinkai Park),L1896754
esa_globcover_5,190,Athens National Gardens,L2694540
esa_globcover_5,190,Büyük Çamlıca Tepesi,L2361473
esa_globcover_5,190,Bangkok--Lumphini Park,L1068940
esa_globcover_5,190,Berlin--Grosser Tiergarten,L1756521
esa_globcover_5,190,Bidadari,L3345783
esa_globcover_5,190,Bosque El Olivar,L826850
esa_globcover_5,190,Bosque los Colomos,L2811916
esa_globcover_5,190,Boston Public Garden,L209928
esa_globcover_5,30,Botanik Parkı,L1930245
esa_globcover_5,190,Cape Town--Company's Garden,L1357648
esa_globcover_5,70,Centennial Olympic Park,L796074
esa_globcover_5,190,Centennial Park (Sydney),L945869
esa_globcover_5,190,"Central Park (Banabitan), Kolkata",L2071440
esa_globcover_5,190,Centre for Environment Education (CEE),L3353044
esa_globcover_5,190,Cerro Santa Lucia,L980718
esa_globcover_5,190,Constitution Gardens and Reflecting Pool,L473521
esa_globcover_5,190,Curitiba -- Jardim Botânico de Curitiba,L3143033
esa_globcover_5,190,Dallas--Pioneer Park/City Hall Park,L1274650
esa_globcover_5,190,Durban Botanical Gardens,L1060493
esa_globcover_5,190,Echo Park,L619767
esa_globcover_5,190,Fergusson College Campus,L3148022
esa_globcover_5,190,Freeway Park (Seattle),L372668
esa_globcover_5,14,Hanoi Botanical Gardens,L1877540
esa_globcover_5,190,Hofgarten Düsseldorf,L3024180
esa_globcover_5,190,Houston--West 11th Street Park,L281716
esa_globcover_5,190,"Humboldt Park, Chicago",L339164
esa_globcover_5,190,Hyde Park,L938388
esa_globcover_5,190,Jakarta--Monas,L1416967
esa_globcover_5,140,Jardín Botánico de Medellín Joaquín Antonio Uribe,L1119406
esa_globcover_5,110,Jardín Botánico José Celestino Mutis,L2404145
esa_globcover_5,190,Johannesburg Botanical Gardens,L1277000
esa_globcover_5,130,Kiwanis Park,L834429
esa_globcover_5,190,Kowloon Park,L1435080
esa_globcover_5,190,Kuala Lumpur City Center Park,L2688240
esa_globcover_5,190,Kunming--Green Lake Park,L957929
esa_globcover_5,190,Lago del Golf,L1471853
esa_globcover_5,190,Lalbagh Botanical Gardens,L2525698
esa_globcover_5,190,Lodi Gardens,L2265071
esa_globcover_5,190,Lucknow Zoological Garden,L3922053
esa_globcover_5,190,"Manila American Cemetery & Memorial, Taguig",L1271819
esa_globcover_5,190,Mt. Davidson,L419667
esa_globcover_5,190,Nairobi River @ National Museums of Kenya (incl. Boulevard Hotel),L1046815
esa_globcover_5,190,Namsan Mountain,L1668242
esa_globcover_5,190,Pantoja Park,L1830072
esa_globcover_5,190,Paris--6e arr.--Jardin du Luxembourg,L920889
esa_globcover_5,30,Parque Chico Mendes,L2386097
esa_globcover_5,190,"Parque de El Retiro, Madrid",L1139116
esa_globcover_5,190,"Parque de la Ciutadella, Barcelona",L4026586
esa_globcover_5,190,Parque do Ibirapuera,L1800556
esa_globcover_5,130,Parque Rufino Tamayo,L2875912
esa_globcover_5,190,PN de l'Île-de-la-Visitation,L459787
esa_globcover_5,190,Prospect Park,L109516
esa_globcover_5,190,Royal Botanic Gardens (Melbourne),L919153
esa_globcover_5,200,Safa Park,L982332
esa_globcover_5,190,Saigon--Thao Cam Vien (Saigon Zoo),L1118709
esa_globcover_5,190,"Sanjeevaiah Park, Hyderabad",L2472492
esa_globcover_5,190,Santo Domingo--Jardín Botánico Nacional,L352473
esa_globcover_5,190,Shahr Park (general area),L3158781
esa_globcover_5,190,Shangaii--Century Park,L1029418
esa_globcover_5,14,Shushan Forest Park,L3483931
esa_globcover_5,190,Sun Yat-sen University Campus,L2354294
esa_globcover_5,190,Technopole,L2389491
esa_globcover_5,190,Tiantan Park (Temple of Heaven),L2398320
esa_globcover_5,190,Toronto--Queen's Park,L571677
esa_globcover_5,190,UM Dearborn--Rouge River Bird Observatory,L511955
esa_globcover_5,190,University of Ghana Botanical Gardens,L2265183
esa_globcover_5,190,Villa Borghese,L1017789
esa_globcover_5,190,Viveros de Coyoacán,L294783
esa_globcover_5,190,Woodlands Cemetery,L715912
esa_globcover_5,20,Yangon--Inya Lake,L1899347
